nickname,time,Post,Bag Of Words,Label
ihatethecold,Wed 01-Mar-17 06:24:02,"We went to camhs with my 13 year old dd last year for anxiety. It was so bad she wasn't eating for 18 hours a day. School and severe bullying caused her to feel so bad. Our referral took about 10 weeks. They said they couldn't help because she wasn't self harming, suicidal or psychotic. They are so stretched that you have to be really unwell before they could help. That doesn't mean your area is as stretched as mine but just to make you aware. We have found counselling through the school and looked for privately funded cbt. I would approach your child's school and ask them to help you. It might happen a lot quicker. Good luck."
Pleasehelp17,Sun 26-Feb-17 11:08:45,"Posted this in chat last night but also posting here for anymore help and advice.I don't even know where to start. 16 year old ds has Aspergers, ODD and anxiety... our relationship is pretty much non exsistent nowadays, he has completely shut me out and I'm desperate to help him but I don't know how to help or where else to turn as help we have been offered in the past he won't co-operate with. He's violent with me and his siblings, he has smashed his bedroom up several times in rages, smashed 3 TVs in the last few months. His verbal abuse is out of control, he says the most disgusting things to us, his family, calls us vile names it really is horrendous. He was in mainstream school till sept last year where he refused to go back as he couldn't cope there, has no friends and was being picked on, he then spent the the next 5 months pretty much shut away in his bedroom with his phone and PlayStation, he is obsessed with talking to girls on social media, he gets fixated on about 3 different girls a weeks and will swing from high to low moods.. he doesn't open up much to me but he has told me he will be speaking to a girl and after a couple of days she will block him and he will be depressed, moody, verbally abusive to myself and his siblings till he fixates on another girl he'll be in a high mood and then history repeats itself and it's just a cycle of ups and downs. He is desperately searching for a girlfriend, doesn't matter who it is anyone will do but he hasn't got a clue how to speak to people or how to act around them as he doesn't socialise and he doesn't have ANY friends. He has now been at a new 'school' for 3 weeks now which is for children with special needs. He has arrested twice now due to his violence but nothing ever seems to change, social workers, youth workers, counsellors etc have all tried working with him and he just point blank refuses to engage with them, he's completely in his own bubble and won't let anyone in. Last time he got arrested was 2 weeks ago, he got bailed to his grandparents house and refused to speak to me for a week, was sending me message saying he was going to kill himself. I'm absolutely worried sick about him, I'm not sleeping at night.. I have no clue how to parent him, he doesn't want me to parent him! I'm terrified about his future, I don't see how he will lead a normal, adult life with him being the way he is. Sorry for rambling, has anyone got any advice please?"
inchoccyheaven,Fri 24-Feb-17 13:28:14,My ds also suffers from anxiety and low moods. He is also 14. It was triggered by me leaving my exh for someone else 3 yrs ago but isn't the cause of his anxiety etc now. He refused to go to school and was so depressed it was awful. He missed most of yr 8 and eventually got a place at hospital school where he has been ever since and will hopefully stay until he finishes his gcses.He is a lovely child who doesnt give me any problems but i worry about him very much because of the low moods and that he still misses quite a lot of schooling. I don't know how to help him and never know how he will be as he goes from being low and sleeping a lot to seeming to be fine and on the ps4 laughing and having fun.
IsMyVoodooWorking,Wed 25-Jan-17 17:51:01,"Oh how tough for you and your DD. I may not have much wisdom and I'm not sure how old your DD is but I was her and wasn't lucky enough to have a supportive parent like you. Who I did open up to was my older sister and what she did that helped me was not to press me. I found it hard to explain why I was feeling the way I did and it made me angry when people questioned me. She told me i didn't have to talk to her but that if I was self harming it was important to be safe- she didn't try to stop me or make me feel ashamed. It meant I didn't feel I had to hide as much and if I had taken a risk or felt I was going to do a lot of damage then I felt I could tell her and she wouldn't flip out or panic. I found her calmness to he really helpful, but it must have been so tough on her really. Its really great that she's been in touch with her GP, and school may be able to help. Hopefully CAMHS have come along since I was a teenager as I didn't find them helpful at all and they were very minimising of my self harm and suicidal feelings which is why having my sister was also so important to me. I'd suggest getting some support for yourself - YoungMinds have a parenting helpline and email http://www.youngminds.org.uk/for_parents/parent_helpline"
Scotslasslivinginfrance,Wed 25-Jan-17 20:33:41,https://headspace.org.au/health-professionals/understanding-self-harm-for-health-professionals/There is an app called Stay alive it's really good and informative for both those with suicidal idéations and for those who are worried about. It provides support to help keep you safe and tools to help keep you safe.The above link is also a valuable source of information.for you and make sure you get support for yourself
PhyllisDietrichson,Sun 05-Feb-17 16:14:24," Update. It's ups and downs. DDs self harm has progressed to arms as well as legs. So sad and (actually appalled) to hear she has to do it to 'stay alive' whilst we wait for CAMHS. BUT conversely, she has also had a laugh with us, come on walks, played board games, chatted about some of what's going on. There have been silent sullen days when shes come down in baggy dirty sweatshirts and greasy hair looking angry and scary. But im remaing as calm and loving as i can. Despite crying in the car after dropping her off and again wondering what on earth have i done / we done to mess this child up so much? She tells us it's not us, shes been depressed for years since a little girl and cited things like hitting herself even at primary school but having a happy childhood. It is difficult beyond measure to go through this knowing help is a month away because there just are not the facilities for anything sooner."
PhyllisDietrichson,Wed 08-Feb-17 08:46:51,"Update 2DD took a limited but mercifully inaffective overdose last night and then told us she'd done it. She also admitted to standing on 8th floor of a local carpark earlier in the day. We spent all night and half of today in A&E.A psych doc from the hospital team came spent just under an hour with her at 1am, then eventually a psych nurse from CAMHS came to see her the following afternoon 13-14 hours after admission but were unable to speed things up. They talked to her again and got the same details as: her GP and the local psych unit doc has, but it still a Psychiatrist she needs to see her in order to issue meds and assess her for talking therapies or indeed to admit her into a unit. So we just have to wait. DD has been chronically / clinically depressed for almost a month now. We could have gone down the private route too but nothing was available for our DD, in fact the private unit said her case was too severe for them because she'd gone beyond suicidal ideation. The psych nurse from CAMHS said her case was not severe enough because her suicide attempt was not serious enough. So DD fallen between the gulf created by private /NHS judgments about the severity of her need.This contrasts significantly with the treatment a close (adult) family member received when they needed urgent mental-health care earlier this year. Within 3 days of presentation at the GP, they'd already been offered anti depressants, a program intensive talking therapy treatment four days a week and could be treated either a day patient or as a residential patient -they could choose at a local BUPA insured hospital. We could have gone down that route too if we'd been allowed to - but for DCs the process is very different and painfully slow, and as I said her case was too risky for them.There's a very small number of child appropriate psychiatrists in the local pool and there are so many young people needing desperate help. So adults are well served and children are not. Due to a recent suicide in a young persons private ward, I understand there's greater safeguarding measures in place now. Professionals are wary of the suicidal child and are busily generating oodles of red tape to cover themselves. Of course there clearly are not the same staffing, resources or facilities for young people either. Sadly my DD's the piggy in the middle of all this. She now has a file with pages and pages of paperwork outlining her case many times by various professionals, yet she has had no real practical help so far this past month. There's a terrible gap between a suicidal child presenting themselves and the delayed response of professionals and our DCs are falling into this. DD has, in her own way, begged for assistance out of the very dark place and I could see yesterday she was defeated by the lack of response and dozens of repeated questions going nowhere. We have to somehow keep her going until this appointment in a weeks time and hope they really pull their finger out then. As a family we have to brace ourselves for her continued and desperate wish to self harm end her own life."
TheTruthCouldOut,Fri 01-Jul-16 20:33:01," Weak. We were referred but after an acknowledgment letter saying we'd get an appointment, we heard nothing else. We went private for therapy. This is for a depressed teenager."
Maggiet24,Mon 03-Oct-16 08:05:29,"My son and I have been involved with Merton CAMHS since 2009. I would say as a diagnostic service it was excellent. Structured appointments, diagnosis etc. Disappointingly though when diagnosis is dispensed so are you with little basic information.Trying to reaccess the service for depression, aggressive behaviour, suicidal ideation is another matter entirely - we poor telephone support; lost notes; one clinician disagreeing with another clinician on diagnosis and then fixed views and poor treatment.What strikes me is at the heart should be the child but it is not; a culture of blame, if we cant fix with the basic tool box lets just ignore, poor communication and services that does not even meet industry best practice for therapeutic service i.e BACP. HCPC. This is not an empathic service but one clearly outdated, underfunded and overrun - but it is essential.I have fought hard desperately wanting to get help for my son; the school phoned and emailed, ignored; the GP wrote, contacted Springfield to be told we have to go back through CAMHS and after a sharp/rude letter from CAMHS to the GP, I finally got a call offering an appointment again this Thursday. Disappointingly my request for a different opinion seems to have been thwarted as the clinician previously involved has placed herself in the appointment so I am fully expectin the same opinion, not being listened to and no help. Again I have experienced narrow minded views; research says (with no substance and totally out of date).This thread is very useful but the questions are how is this information going to help. What are the plans for review and improvement. For example what type of supervision of therapists take place along with their own personal therapy - transference/burn out surely are a concern???? Effective practice more up to date and efficient support / in school counselling, DBA, EMDR. Why do other CAMHS services publish the support they offer on websites and are very transparent whereas Merton hide behind an iron curtain? Where is the client/patient/child at the centre of this service?I would love to hear how plans are to review and improve a service that clearly has not been looked at in over a decade but is so important. CAMHS needs bringing into the present and supported!"
BenguinsMummy,Sun 29-Jan-17 20:04:16," Your best option would be getting your DD referred to CAHMS, you can request this through your GP... Depression has several ways of being treated, for example medications, counselling or both, a proper assessment t would determine the best form of treatment for your DD if she is depressed."
